step,potential_energy,temperature
1000,-2418.6000000000026,1.1996003999999998
2000,-2505.600000000005,1.1992004
3000,-2465.000000000003,1.1988003999999999
4000,-2465.000000000003,1.1984004
5000,-2505.6000000000026,1.1980004
6000,-2499.800000000002,1.1976004
7000,-2505.600000000001,1.1972004
8000,-2563.6000000000045,1.1968003999999999
9000,-2592.6000000000045,1.1964004
10000,-2482.400000000003,1.1960004
11000,-2639.000000000003,1.1956004
12000,-2482.400000000002,1.1952004
13000,-2499.800000000001,1.1948003999999999
14000,-2470.7999999999993,1.1944004
15000,-2482.4000000000015,1.1940004
16000,-2505.6000000000026,1.1936004
17000,-2528.8000000000034,1.1932004
18000,-2465.0000000000027,1.1928003999999999
19000,-2679.600000000004,1.1924004
20000,-2534.6000000000035,1.1920004
21000,-2505.6000000000035,1.1916004
22000,-2557.8000000000034,1.1912004
23000,-2569.4000000000046,1.1908003999999999
24000,-2511.4000000000024,1.1904004
25000,-2546.200000000002,1.1900004
26000,-2424.4000000000005,1.1896004
27000,-2511.4000000000033,1.1892004
28000,-2540.4000000000033,1.1888003999999999
29000,-2557.8000000000043,1.1884004
30000,-2633.200000000003,1.1880004
31000,-2627.4000000000055,1.1876004
32000,-2598.4000000000033,1.1872004
33000,-2563.600000000002,1.1868003999999999
34000,-2714.4000000000046,1.1864004
35000,-2673.8000000000047,1.1860004
36000,-2586.8000000000065,1.1856004
37000,-2615.800000000005,1.1852004
38000,-2662.200000000007,1.1848003999999999
39000,-2604.200000000002,1.1844004
40000,-2546.200000000005,1.1840004
41000,-2569.4000000000033,1.1836004
42000,-2668.000000000005,1.1832004
43000,-2534.600000000004,1.1828003999999999
44000,-2691.200000000006,1.1824004
45000,-2482.400000000002,1.1820004
46000,-2470.8000000000043,1.1816004
47000,-2575.200000000004,1.1812004
48000,-2563.6000000000067,1.1808003999999999
49000,-2569.400000000004,1.1804004
50000,-2534.6000000000045,1.1800004
51000,-2511.4000000000046,1.1796004
52000,-2697.0000000000073,1.1792004
53000,-2447.6000000000017,1.1788003999999999
54000,-2540.400000000004,1.1784004
55000,-2673.800000000004,1.1780004
56000,-2615.800000000003,1.1776004
57000,-2499.8000000000006,1.1772004
58000,-2517.2000000000035,1.1768003999999999
59000,-2540.400000000002,1.1764004
60000,-2499.8000000000015,1.1760004
61000,-2639.000000000003,1.1756004
62000,-2552.0000000000027,1.1752004
63000,-2546.2000000000025,1.1748003999999999
64000,-2470.8,1.1744004
65000,-2627.4000000000055,1.1740004
66000,-2627.400000000005,1.1736004
67000,-2668.0000000000086,1.1732004
68000,-2708.6000000000063,1.1728003999999999
69000,-2685.400000000004,1.1724004
70000,-2569.4000000000074,1.1720004
71000,-2639.0000000000045,1.1716004
72000,-2702.8000000000075,1.1712004
73000,-2656.400000000007,1.1708004
74000,-2656.400000000006,1.1704004000000001
75000,-2575.2000000000044,1.1700004000000002
76000,-2517.2000000000016,1.1696004
77000,-2586.8000000000025,1.1692004
78000,-2633.2000000000044,1.1688004
79000,-2453.4000000000005,1.1684004000000001
80000,-2615.800000000005,1.1680004000000002
81000,-2639.000000000007,1.1676004
82000,-2737.600000000007,1.1672004
83000,-2488.200000000001,1.1668004
84000,-2575.2000000000057,1.1664004000000001
85000,-2592.600000000004,1.1660004
86000,-2668.0000000000055,1.1656004
87000,-2650.600000000004,1.1652004
88000,-2505.6000000000013,1.1648003999999998
89000,-2662.200000000005,1.1644004
90000,-2633.2000000000035,1.1640004
91000,-2749.2000000000075,1.1636004
92000,-2569.4000000000033,1.1632004
93000,-2528.800000000003,1.1628004
94000,-2633.2000000000066,1.1624004000000001
95000,-2610.0000000000045,1.1620004
96000,-2650.600000000007,1.1616004
97000,-2604.2000000000044,1.1612003999999998
98000,-2575.200000000004,1.1608003999999998
99000,-2604.200000000002,1.1604003999999999
100000,-2627.4000000000055,1.1600004
101000,-2673.8000000000034,1.1596004
102000,-2494.0000000000023,1.1592004
103000,-2639.0000000000045,1.1588003999999998
104000,-2656.400000000005,1.1584003999999999
105000,-2592.600000000006,1.1580004
106000,-2586.8000000000043,1.1576004
107000,-2528.8000000000034,1.1572003999999998
108000,-2668.0000000000045,1.1568003999999998
109000,-2726.000000000007,1.1564003999999999
110000,-2639.000000000007,1.1560004
111000,-2662.2000000000057,1.1556004
